TrxNo,PlazaNo,LaneNo,EntryPlaza,JobNo,TransactionDateTime,Trx,AVC,PaymentMode,FareAmount(RM),MfgNoTagID,PaidAmount(RM),Balance,AccountType,VehicleNo,Code,Remark,PenaltyCode
451,203,M06,,1,1/10/2025 9:54,1,,ENTRY,,1643646543,,,,,,,
246,203,K04,201,1,1/10/2025 9:54,1,1,TNG,9.2,4199771151,9.20,31.78,,,,,
277,203,K05,202,1,1/10/2025 9:54,1,1,ABTC,5.6,1165123023,5.60,2174.70,,,,,
452,203,M06,,1,1/10/2025 9:54,1,,ENTRY,,1035340207,,,,,,,
247,203,K04,201,1,1/10/2025 9:54,1,1,TNG,9.2,1303392239,9.20,58.68,,,,,
227,203,M02,,1,1/10/2025 9:54,1,,ENTRY,,1737575695,,,,,,,
251,203,K02,201,1,1/10/2025 9:55,1,1,TNG,9.2,4133598671,9.20,15.17,,,,,
225,203,M01,,1,1/10/2025 9:55,1,,ENTRY,,1122406671,,,,,,,
215,203,K06,201,1,1/10/2025 9:55,1,1,RFID,9.2,E280110520007084F9D80ACE,9.20,70.80,3,JSR5022,,,
226,203,M01,,1,1/10/2025 9:55,1,,ENTRY,,1861044623,,,,,,,
278,203,K05,201,1,1/10/2025 9:56,1,1,TNG,9.2,4041542927,9.20,125.37,,,,,
248,203,K04,204,1,1/10/2025 9:56,1,1,TNG,7.2,2213653327,7.20,1.92,,,,,
228,203,M02,,1,1/10/2025 9:56,1,,ENTRY,,2241260303,,,,,,,
252,203,K02,204,1,1/10/2025 9:56,1,1,TNG,7.2,4150266639,7.20,11.86,,,,,
383,203,K01,204,1,1/10/2025 9:56,1,1,TNG,7.2,3317882565,7.20,13.10,,,,,
227,203,M01,,1,1/10/2025 9:56,1,,ENTRY,,1331636687,,,,,,,
384,203,K01,204,1,1/10/2025 9:56,1,1,TNG,7.2,3905195887,7.20,2.73,,,,,
253,203,K02,201,1,1/10/2025 9:56,3,3,ABTC,18.4,1166741711,18.40,90.74,,,,,
453,203,M06,,1,1/10/2025 9:57,1,,ENTRY,,1008088111,,,,,,,
254,203,K02,204,1,1/10/2025 9:57,3,3,TNG,14.4,3336203983,14.40,72.19,,,,,
249,203,K04,201,1,1/10/2025 9:57,1,1,TNG,9.2,1282125167,9.20,1.13,,,,,
279,203,K05,204,1,1/10/2025 9:57,1,1,ABTC,7.2,1019125551,7.20,84.27,,,,,
229,203,M02,,1,1/10/2025 9:57,1,,ENTRY,,1074374127,,,,,,,
216,203,K06,201,1,1/10/2025 9:57,1,1,RFID,9.2,E2806F1220004202412D6BCA,9.20,13.13,3,JXP9915,,,
294,203,M07,,1,1/10/2025 9:57,1,,ENTRY,,E28011052000705B3F4409A4,,,3,VDP4015,,,
217,203,K06,204,1,1/10/2025 9:57,1,1,RFID,7.2,E2806F12200070024244004E,7.20,151.20,3,JXP2565,,,
228,203,M01,,1,1/10/2025 9:57,1,,ENTRY,,2257376463,,,,,,,
218,203,K06,204,1,1/10/2025 9:57,1,1,RFID,7.2,E280110520007AC3F6310AD3,7.20,99.50,3,VKY408,,,
250,203,K04,202,1,1/10/2025 9:57,1,1,TNG,5.6,1127252431,5.60,4.12,,,,,
229,203,M01,,1,1/10/2025 9:58,1,,ENTRY,,3306475589,,,,,,,
454,203,M06,,1,1/10/2025 9:58,1,,ENTRY,,1884115087,,,,,,,
251,203,K04,201,1,1/10/2025 9:58,1,1,ABTC,9.2,1029497519,9.20,70.80,,,,,
295,203,M07,,1,1/10/2025 9:58,1,,ENTRY,,E20034120134FB0006C7A971,,,0,,,,
230,203,M01,,1,1/10/2025 9:58,1,,ENTRY,,1323472271,,,,,,,
230,203,M02,,1,1/10/2025 9:58,1,,ENTRY,,3369282741,,,,,,,
455,203,M06,,1,1/10/2025 9:58,1,,ENTRY,,1126321487,,,,,,,
255,203,K02,202,1,1/10/2025 9:58,3,3,TNG,11.3,4223174607,11.30,2.53,,,,,
231,203,M01,,1,1/10/2025 9:58,1,,ENTRY,,1700890095,,,,,,,
252,203,K04,,1,1/10/2025 9:59,,,,0,1246744335,200.00,218.98,,,,,
456,203,M06,,1,1/10/2025 9:59,1,,ENTRY,,1172254927,,,,,,,
219,203,K06,201,1,1/10/2025 9:59,1,1,RFID,9.2,E28011052000788CE9730ACC,9.20,390.43,3,JXH8419,,,
231,203,M02,,1,1/10/2025 9:59,1,,ENTRY,,1053589647,,,,,,,
385,203,K01,201,1,1/10/2025 9:59,2,2,TNG,13.8,2214106543,13.80,119.11,,,,,
254,203,K04,0,1,1/10/2025 9:59,1,1,TNG,9.2,1246744335,9.20,200.58,,,,,
232,203,M01,,1,1/10/2025 9:59,1,,ENTRY,,1165123023,,,,,,,
387,203,K01,202,1,1/10/2025 9:59,3,3,ABTC,11.3,4039280783,11.30,181.09,,,,,
304,203,M04,,1,1/10/2025 9:59,1,,ENTRY,,1126243439,,,,,,,
296,203,M07,,1,1/10/2025 9:59,1,,ENTRY,,E20034120132200000252CCC,,,3,VT5360,,,
256,203,K02,204,1,1/10/2025 9:59,3,3,TNG,14.4,1028498607,14.40,87.80,,,,,
457,203,M06,,1,1/10/2025 9:59,1,,ENTRY,,1136171023,,,,,,,
233,203,M01,,1,1/10/2025 9:59,1,,ENTRY,,1242947759,,,,,,,
233,203,M01,,1,1/10/2025 9:59,,,,0,1242947759,0.00,0.00, , ,54,TngAutorefillDisable,
232,203,M02,,1,1/10/2025 10:00,1,,ENTRY,,1006213999,,,,,,,
388,203,K01,204,1,1/10/2025 10:00,1,1,TNG,7.2,3312225807,7.20,18.40,,,,,
233,203,M02,,1,1/10/2025 10:00,1,,ENTRY,,4200043823,,,,,,,
234,203,M01,,1,1/10/2025 10:00,1,,ENTRY,,1735704463,,,,,,,
458,203,M06,,1,1/10/2025 10:00,1,,ENTRY,,2803323055,,,,,,,
234,203,M02,,1,1/10/2025 10:00,1,,ENTRY,,1164855215,,,,,,,
2,203,K01,,2,1/10/2025 10:00,,,,0,          ,0.00,0.00, , ,20,Standby End,
2,203,K01,201,2,1/10/2025 10:00,3,3,TNG,18.4,1890790415,18.40,226.89,,,,,
235,203,M02,,1,1/10/2025 10:00,1,,ENTRY,,4187961039,,,,,,,
255,203,K04,202,1,1/10/2025 10:00,1,1,TNG,5.6,4106448815,5.60,149.20,,,,,
305,203,M04,,1,1/10/2025 10:00,1,,ENTRY,,1149844815,,,,,,,
258,203,K02,201,1,1/10/2025 10:00,3,3,TNG,18.4,1241991151,18.40,259.60,,,,,
236,203,M02,,1,1/10/2025 10:01,1,,ENTRY,,1272836239,,,,,,,
235,203,M01,,1,1/10/2025 10:01,1,,ENTRY,,4163330543,,,,,,,
237,203,M02,,1,1/10/2025 10:01,1,,ENTRY,,3321978799,,,,,,,
236,203,M01,,1,1/10/2025 10:01,1,,ENTRY,,3317072655,,,,,,,
238,203,M02,,1,1/10/2025 10:01,1,,ENTRY,,4229425359,,,,,,,
459,203,M06,,1,1/10/2025 10:02,1,,ENTRY,,1165881871,,,,,,,
306,203,M04,,1,1/10/2025 10:02,1,,ENTRY,,3252542101,,,,,,,
256,203,K04,204,1,1/10/2025 10:02,1,1,TNG,7.2,1894533391,7.20,53.26,,,,,
237,203,M01,,1,1/10/2025 10:02,1,,ENTRY,,1660714479,,,,,,,
460,203,M06,,1,1/10/2025 10:02,1,,ENTRY,,1135538191,,,,,,,
259,203,K02,201,1,1/10/2025 10:02,1,1,TNG,9.2,1145950799,9.20,27.62,,,,,
220,203,K06,204,1,1/10/2025 10:03,1,1,RFID,7.2,E2806F12200083024130D4D8,7.20,971.76,3,G8821,,,
239,203,M02,,1,1/10/2025 10:03,1,,ENTRY,,1018583215,,,,,,,
461,203,M06,,1,1/10/2025 10:03,1,,ENTRY,,3382856213,,,,,,,
238,203,M01,,1,1/10/2025 10:03,1,,ENTRY,,4009471567,,,,,,,
3,203,K01,201,2,1/10/2025 10:03,3,3,TNG,18.4,3304503951,18.40,49.89,,,,,
240,203,M02,,1,1/10/2025 10:03,1,,ENTRY,,1886163087,,,,,,,
239,203,M01,,1,1/10/2025 10:03,1,,ENTRY,,1285589519,,,,,,,
260,203,K02,204,1,1/10/2025 10:03,1,1,TNG,7.2,3325018383,7.20,35.52,,,,,
307,203,M04,,1,1/10/2025 10:03,1,,ENTRY,,1800068719,,,,,,,
241,203,M02,,1,1/10/2025 10:04,1,,ENTRY,,4282402223,,,,,,,
261,203,K02,201,1,1/10/2025 10:04,1,1,TNG,9.2,1854629551,9.20,50.07,,,,,
240,203,M01,,1,1/10/2025 10:04,1,,ENTRY,,1089461487,,,,,,,
4,203,K01,201,2,1/10/2025 10:04,3,3,TNG,18.4,1779028463,18.40,198.04,,,,,
308,203,M04,,1,1/10/2025 10:04,1,,ENTRY,,2230062543,,,,,,,
462,203,M06,,1,1/10/2025 10:04,1,,ENTRY,,2251634127,,,,,,,
241,203,M01,,1,1/10/2025 10:04,1,,ENTRY,,3229047221,,,,,,,
7,203,K01,201,2,1/10/2025 10:04,3,3,TNG,18.4,1242819823,18.40,91.54,,,,,
221,203,K06,201,1,1/10/2025 10:05,1,1,RFID,9.2,E2801105200076419D8C0A1C,9.20,1911.58,3,WD5595C,,,
242,203,M02,,1,1/10/2025 10:05,1,,ENTRY,,1748431311,,,,,,,
242,203,M01,,1,1/10/2025 10:05,1,,ENTRY,,4130155855,,,,,,,
257,203,K04,204,1,1/10/2025 10:05,1,1,TNG,7.2,3063475791,7.20,26.87,,,,,
243,203,M02,,1,1/10/2025 10:05,1,,ENTRY,,1735610543,,,,,,,
8,203,K01,204,2,1/10/2025 10:05,2,2,TNG,10.8,4066995823,10.80,130.44,,,,,
262,203,K02,201,1,1/10/2025 10:05,3,3,TNG,18.4,1066176175,18.40,312.88,,,,,
463,203,M06,,1,1/10/2025 10:05,1,,ENTRY,,1014927823,,,,,,,
9,203,K01,204,2,1/10/2025 10:05,3,3,TNG,14.4,2007833455,14.40,307.85,,,,,
10,203,K01,201,2,1/10/2025 10:06,3,3,TNG,18.4,1058049839,18.40,240.46,,,,,
10,203,K01,,2,1/10/2025 10:06,,,,0,1058049839,0.00,0.00, , ,53,TngAutorefillEnable,
243,203,M01,203,1,1/10/2025 10:06,1,1,EXM,0,          ,0.00,0.00,,,,,
258,203,K04,201,1,1/10/2025 10:06,1,1,ABTC,9.2,1765728655,9.20,70.80,,,,,
263,203,K02,201,1,1/10/2025 10:06,3,3,TNG,18.4,1734938735,18.40,53.23,,,,,
11,203,K01,201,2,1/10/2025 10:06,3,3,ABTC,18.4,1033772175,18.40,1818.45,,,,,
280,203,K05,201,1,1/10/2025 10:06,1,1,ABTC,9.2,1132282799,9.20,125.50,,,,,
12,203,K01,201,2,1/10/2025 10:06,2,2,TNG,13.8,1654285103,13.80,373.18,,,,,
264,203,K02,201,1,1/10/2025 10:06,2,2,TNG,13.8,4147049487,13.80,118.37,,,,,
244,203,M02,,1,1/10/2025 10:06,1,,ENTRY,,1058263407,,,,,,,
265,203,K02,201,1,1/10/2025 10:06,1,1,TNG,9.2,2164933999,9.20,64.53,,,,,
259,203,K04,204,1,1/10/2025 10:06,1,1,ABTC,7.2,4123728687,7.20,72.80,,,,,
244,203,M01,,1,1/10/2025 10:06,1,,ENTRY,,1134568783,,,,,,,
266,203,K02,201,1,1/10/2025 10:06,3,3,TNG,18.4,4147453839,18.40,164.20,,,,,
13,203,K01,202,2,1/10/2025 10:07,2,2,TNG,8.5,1841630095,8.50,44.22,,,,,
309,203,M04,,1,1/10/2025 10:07,1,,ENTRY,,1822302735,,,,,,,
245,203,M02,,1,1/10/2025 10:08,1,,ENTRY,,1099304879,,,,,,,
245,203,M01,,1,1/10/2025 10:08,1,,ENTRY,,1303184271,,,,,,,
245,203,M01,,1,1/10/2025 10:08,,,,0,1303184271,0.00,0.00, , ,54,TngAutorefillDisable,
246,203,M02,,1,1/10/2025 10:08,1,,ENTRY,,4284315151,,,,,,,
246,203,M01,,1,1/10/2025 10:08,1,,ENTRY,,1006898959,,,,,,,
247,203,M02,,1,1/10/2025 10:08,1,,ENTRY,,1301554255,,,,,,,
268,203,K02,201,1,1/10/2025 10:08,2,2,TNG,13.8,2237255023,13.80,341.13,,,,,
14,203,K01,204,2,1/10/2025 10:08,1,1,TNG,7.2,1149118895,7.20,2.34,,,,,
247,203,M01,,1,1/10/2025 10:08,1,,ENTRY,,1012479503,,,,,,,
222,203,K06,202,1,1/10/2025 10:08,1,1,RFID,5.6,E2806F1220006E024150D940,5.60,74.40,3,JVC3328,,,
464,203,M06,,1,1/10/2025 10:09,1,,ENTRY,,2227515567,,,,,,,
248,203,M01,,1,1/10/2025 10:09,1,,ENTRY,,1641108271,,,,,,,
223,203,K06,201,1,1/10/2025 10:09,1,1,RFID,9.2,E2806F1220006D02424E4DF5,9.20,128.73,3,VNL5388,,,
310,203,M04,,1,1/10/2025 10:09,1,,ENTRY,,1149257391,,,,,,,
16,203,K01,201,2,1/10/2025 10:09,1,1,TNG,9.2,2238292399,9.20,1.03,,,,,
465,203,M06,,1,1/10/2025 10:09,1,,ENTRY,,1846671823,,,,,,,
249,203,M01,,1,1/10/2025 10:09,1,,ENTRY,,3119475951,,,,,,,
248,203,M02,,1,1/10/2025 10:09,1,,ENTRY,,1267581487,,,,,,,
249,203,M02,,1,1/10/2025 10:09,1,,ENTRY,,1292411663,,,,,,,
18,203,K01,201,2,1/10/2025 10:09,1,1,TNG,9.2,1644300399,9.20,41.89,,,,,
466,203,M06,,1,1/10/2025 10:09,1,,ENTRY,,1851928239,,,,,,,
224,203,K06,202,1,1/10/2025 10:09,1,1,RFID,5.6,E2801105200076949D290A1C,5.60,293.36,3,VGT7843,,,
250,203,M01,,1,1/10/2025 10:10,1,,ENTRY,,1656050767,,,,,,,
19,203,K01,204,2,1/10/2025 10:10,3,3,TNG,14.4,1654741391,14.40,321.74,,,,,
250,203,M02,,1,1/10/2025 10:10,1,,ENTRY,,1773122511,,,,,,,
281,203,K05,201,1,1/10/2025 10:10,1,1,TNG,9.2,4277085711,9.20,12.12,,,,,
225,203,K06,202,1,1/10/2025 10:10,1,1,RFID,5.6,E2806F12200052023EB12D91,5.60,1753.15,3,WQ1,,,
297,203,M07,,1,1/10/2025 10:10,1,,ENTRY,,E280110520007485C6370A55,,,3,VF4015,,,
311,203,M04,,1,1/10/2025 10:10,1,,ENTRY,,4224211471,,,,,,,
251,203,M01,,1,1/10/2025 10:10,1,,ENTRY,,2162580239,,,,,,,
312,203,M04,,1,1/10/2025 10:10,1,,ENTRY,,1833044399,,,,,,,
467,203,M06,,1,1/10/2025 10:10,1,,ENTRY,,1782947919,,,,,,,
226,203,K06,201,1,1/10/2025 10:10,1,1,RFID,9.2,E280110520007481C84A0A55,9.20,20.43,3,JNB6368,,,
20,203,K01,201,2,1/10/2025 10:11,3,3,TNG,18.4,4069584431,18.40,148.68,,,,,
260,203,K04,201,1,1/10/2025 10:11,1,1,TNG,9.2,1178190383,9.20,5.10,,,,,
468,203,M06,,1,1/10/2025 10:11,1,,ENTRY,,1737426287,,,,,,,
252,203,M01,,1,1/10/2025 10:11,1,,ENTRY,,3316505743,,,,,,,
469,203,M06,,1,1/10/2025 10:12,1,,ENTRY,,2251488495,,,,,,,
470,203,M06,,1,1/10/2025 10:12,1,,ENTRY,,1323411087,,,,,,,
22,203,K01,201,2,1/10/2025 10:12,3,3,TNG,18.4,4159260655,18.40,87.89,,,,,
471,203,M06,,1,1/10/2025 10:12,1,,ENTRY,,2241738159,,,,,,,
269,203,K02,201,1,1/10/2025 10:12,5,1,TNG,5.7,1842217711,5.70,147.77,,,,,
253,203,M01,,1,1/10/2025 10:12,1,,ENTRY,,1057938415,,,,,,,
23,203,K01,201,2,1/10/2025 10:12,3,3,TNG,18.4,1028168879,18.40,284.60,,,,,
313,203,M04,,1,1/10/2025 10:13,1,,ENTRY,,1029855023,,,,,,,
298,203,M07,,1,1/10/2025 10:13,1,,ENTRY,,E2806F122000C30241508656,,,3,VNK9892,,,
251,203,M02,,1,1/10/2025 10:13,1,,ENTRY,,1036371535,,,,,,,
254,203,M01,,1,1/10/2025 10:13,1,,ENTRY,,1779018383,,,,,,,
255,203,M01,,1,1/10/2025 10:13,1,,ENTRY,,2236359791,,,,,,,
261,203,K04,202,1,1/10/2025 10:13,1,1,TNG,5.6,1045415247,5.60,73.91,,,,,
314,203,M04,,1,1/10/2025 10:13,1,,ENTRY,,4037999279,,,,,,,
252,203,M02,,1,1/10/2025 10:13,1,,ENTRY,,3249203189,,,,,,,
24,203,K01,201,2,1/10/2025 10:13,3,3,TNG,18.4,1006499151,18.40,55.07,,,,,
270,203,K02,201,1,1/10/2025 10:13,3,3,TNG,18.4,1296080847,18.40,468.18,,,,,
256,203,M01,,1,1/10/2025 10:14,1,,ENTRY,,2165655311,,,,,,,
472,203,M06,,1,1/10/2025 10:14,1,,ENTRY,,4158976303,,,,,,,
25,203,K01,201,2,1/10/2025 10:14,3,3,TNG,18.4,1867711343,18.40,285.96,,,,,
299,203,M07,,1,1/10/2025 10:14,1,,ENTRY,,E280110520007706CD670A55,,,3,JWP9335,,,
253,203,M02,,1,1/10/2025 10:15,1,,ENTRY,,1713200687,,,,,,,
300,203,M07,,1,1/10/2025 10:15,1,,ENTRY,,E28011052000785149190AE3,,,3,JLN7997,,,
473,203,M06,,1,1/10/2025 10:15,1,,ENTRY,,4087142575,,,,,,,
271,203,K02,201,1,1/10/2025 10:15,3,3,TNG,18.4,1087117295,18.40,313.20,,,,,
315,203,M04,,1,1/10/2025 10:15,1,,ENTRY,,1328262703,,,,,,,
26,203,K01,202,2,1/10/2025 10:15,3,3,TNG,11.3,1093302447,11.30,70.30,,,,,
262,203,K04,204,1,1/10/2025 10:16,1,1,TNG,7.2,1066196271,7.20,46.10,,,,,
272,203,K02,201,1,1/10/2025 10:16,1,1,ABTC,9.2,1139060975,9.20,2395.08,,,,,
254,203,M02,,1,1/10/2025 10:16,1,,ENTRY,,1087152815,,,,,,,
316,203,M04,,1,1/10/2025 10:16,1,,ENTRY,,1020881007,,,,,,,
282,203,K05,204,1,1/10/2025 10:16,1,1,ABTC,7.2,4202683311,7.20,89.36,,,,,
263,203,K04,204,1,1/10/2025 10:16,1,1,TNG,7.2,3318839087,7.20,15.38,,,,,
273,203,K02,204,1,1/10/2025 10:16,3,3,TNG,14.4,3231629263,14.40,779.87,,,,,
255,203,M02,,1,1/10/2025 10:16,1,,ENTRY,,1882665135,,,,,,,
27,203,K01,204,2,1/10/2025 10:16,3,3,TNG,14.4,4231753647,14.40,88.29,,,,,
28,203,K01,204,2,1/10/2025 10:16,3,3,TNG,14.4,1005066543,14.40,69.95,,,,,
274,203,K02,202,1,1/10/2025 10:16,1,1,ABTC,5.6,1824816687,5.60,0.00,,,,,
29,203,K01,201,2,1/10/2025 10:16,2,2,TNG,13.8,1703104751,13.80,67.40,,,,,
474,203,M06,,1,1/10/2025 10:16,1,,ENTRY,,1629589103,,,,,,,
257,203,M01,,1,1/10/2025 10:17,1,,ENTRY,,1174215087,,,,,,,
256,203,M02,,1,1/10/2025 10:17,1,,ENTRY,,1158603951,,,,,,,
275,203,K02,202,1,1/10/2025 10:17,3,3,TNG,11.3,4150548111,11.30,240.38,,,,,
30,203,K01,,2,1/10/2025 10:17,,,,0,4149470447,0.00,0.00, , ,7,  to ,
257,203,M02,,1,1/10/2025 10:17,1,,ENTRY,,3304091535,,,,,,,
31,203,K01,,2,1/10/2025 10:17,,,,0,4149470447,0.00,0.00, , ,4,"Violation, AVC: 1",
264,203,K04,201,1,1/10/2025 10:17,1,1,ABTC,9.2,1028610703,9.20,70.80,,,,,
276,203,K02,202,1,1/10/2025 10:17,2,2,TNG,8.5,1737582511,8.50,243.94,,,,,
301,203,M07,,1,1/10/2025 10:17,1,,ENTRY,,E2806F12200092023E9C6F5E,,,3,JWU9274,,,
33,203,K01,204,2,1/10/2025 10:17,2,2,TNG,10.8,2003216367,10.80,3.02,,,,,
258,203,M01,,1,1/10/2025 10:18,1,,ENTRY,,4157703183,,,,,,,
277,203,K02,202,1,1/10/2025 10:18,3,3,TNG,11.3,1302691279,11.30,110.61,,,,,
277,203,K02,,1,1/10/2025 10:18,,,,0,1302691279,0.00,0.00, , ,54,TngAutorefillDisable,
317,203,M04,,1,1/10/2025 10:18,1,,ENTRY,,1027402127,,,,,,,
34,203,K01,201,2,1/10/2025 10:18,3,3,TNG,18.4,1156683311,18.40,75.18,,,,,
258,203,M02,,1,1/10/2025 10:18,1,,ENTRY,,4066237743,,,,,,,
318,203,M04,,1,1/10/2025 10:18,1,,ENTRY,,4284351023,,,,,,,
259,203,M01,,1,1/10/2025 10:18,1,,ENTRY,,1149630575,,,,,,,
227,203,K06,202,1,1/10/2025 10:18,1,1,SRID,0,E2003412012FFB0006C7A97C,0.00,0.00,0,,,,
302,203,M07,,1,1/10/2025 10:19,1,,ENTRY,,E280110520007A8DF5ED0AD3,,,3,VGT7774,,,
319,203,M04,,1,1/10/2025 10:19,1,,ENTRY,,4108148175,,,,,,,
265,203,K04,204,1,1/10/2025 10:19,1,1,TNG,7.2,1088109807,7.20,17.94,,,,,
260,203,M01,,1,1/10/2025 10:19,1,,ENTRY,,1023806095,,,,,,,
259,203,M02,,1,1/10/2025 10:19,1,,ENTRY,,1027952303,,,,,,,
283,203,K05,202,1,1/10/2025 10:19,1,1,TNG,5.6,1324403407,5.60,232.93,,,,,
35,203,K01,204,2,1/10/2025 10:19,3,3,TNG,14.4,1737740463,14.40,220.02,,,,,
475,203,M06,,1,1/10/2025 10:20,1,,ENTRY,,1071285679,,,,,,,
261,203,M01,,1,1/10/2025 10:20,1,,ENTRY,,1632592367,,,,,,,
261,203,M02,,1,1/10/2025 10:20,1,,ENTRY,,1301591695,,,,,,,
476,203,M06,,1,1/10/2025 10:20,1,,ENTRY,,1036517487,,,,,,,
477,203,M06,,1,1/10/2025 10:20,,,,0,1792304719,0.00,0.00, , ,7,  to ,
278,203,K02,204,1,1/10/2025 10:20,1,1,TNG,7.2,1278286639,7.20,172.90,,,,,
478,203,M06,,1,1/10/2025 10:20,1,,ENTRY,,1792304719,,,,,,,
262,203,M01,,1,1/10/2025 10:20,1,,ENTRY,,1884346799,,,,,,,
279,203,K02,201,1,1/10/2025 10:20,2,2,TNG,13.8,1157517615,13.80,11.50,,,,,
36,203,K01,204,2,1/10/2025 10:20,1,1,TNG,7.2,3396268533,7.20,2.80,,,,,
479,203,M06,,1,1/10/2025 10:21,1,,ENTRY,,1873119631,,,,,,,
37,203,K01,201,2,1/10/2025 10:21,3,3,TNG,18.4,4162145231,18.40,83.45,,,,,
262,203,M02,,1,1/10/2025 10:21,1,,ENTRY,,4148363151,,,,,,,
280,203,K02,201,1,1/10/2025 10:21,2,2,TNG,13.8,2804449551,13.80,169.78,,,,,
321,203,M04,,1,1/10/2025 10:21,1,,ENTRY,,2169164687,,,,,,,
263,203,M01,,1,1/10/2025 10:21,1,,ENTRY,,3230720367,,,,,,,
322,203,M04,,1,1/10/2025 10:21,1,,ENTRY,,1010247663,,,,,,,
38,203,K01,204,2,1/10/2025 10:21,3,3,TNG,14.4,3257748655,14.40,51.10,,,,,
480,203,M06,,1,1/10/2025 10:21,1,,ENTRY,,1144227599,,,,,,,
264,203,M01,,1,1/10/2025 10:21,1,,ENTRY,,4196404879,,,,,,,
481,203,M06,,1,1/10/2025 10:21,1,,ENTRY,,1029541775,,,,,,,
263,203,M02,,1,1/10/2025 10:21,1,,ENTRY,,1093445487,,,,,,,
265,203,M01,,1,1/10/2025 10:21,1,,ENTRY,,1762187407,,,,,,,
266,203,K04,201,1,1/10/2025 10:21,1,1,TNG,9.2,1061975439,9.20,31.72,,,,,
284,203,K02,201,1,1/10/2025 10:21,3,3,TNG,18.4,1636423247,18.40,133.93,,,,,
40,203,K01,201,2,1/10/2025 10:22,1,1,TNG,9.2,1007848591,9.20,42.60,,,,,
284,203,K05,202,1,1/10/2025 10:22,1,1,ABTC,5.6,2168090703,5.60,74.40,,,,,
266,203,M01,,1,1/10/2025 10:22,1,,ENTRY,,1054676495,,,,,,,
323,203,M04,,1,1/10/2025 10:22,1,,ENTRY,,1788171439,,,,,,,
228,203,K06,204,1,1/10/2025 10:22,1,1,RFID,7.2,E28011052000745CCA280A55,7.20,72.80,3,JQW1755,,,
264,203,M02,,1,1/10/2025 10:22,1,,ENTRY,,4165009007,,,,,,,
285,203,K02,204,1,1/10/2025 10:22,1,1,TNG,7.2,3361439205,7.20,2.20,,,,,
482,203,M06,,1,1/10/2025 10:22,1,,ENTRY,,4169120847,,,,,,,
41,203,K01,202,2,1/10/2025 10:22,3,3,ABTC,11.3,3282636533,11.30,2.60,,,,,
267,203,K04,204,1,1/10/2025 10:22,1,1,TNG,7.2,1761629583,7.20,57.07,,,,,
267,203,M01,,1,1/10/2025 10:22,1,,ENTRY,,1098974735,,,,,,,
286,203,K02,204,1,1/10/2025 10:22,3,3,TNG,14.4,1660723183,14.40,355.35,,,,,
265,203,M02,,1,1/10/2025 10:22,1,,ENTRY,,4210709583,,,,,,,
285,203,K05,202,1,1/10/2025 10:22,1,1,TNG,5.6,1789815503,5.60,42.66,,,,,
324,203,M04,,1,1/10/2025 10:22,1,,ENTRY,,1093296271,,,,,,,
268,203,M01,,1,1/10/2025 10:23,1,,ENTRY,,2217835919,,,,,,,
43,203,K01,202,2,1/10/2025 10:23,1,1,TNG,5.6,2168277423,5.60,46.62,,,,,
266,203,M02,,1,1/10/2025 10:23,1,,ENTRY,,4270358319,,,,,,,
269,203,M01,,1,1/10/2025 10:23,1,,ENTRY,,4069268591,,,,,,,
268,203,K04,202,1,1/10/2025 10:23,1,1,ABTC,5.6,4027981455,5.60,74.40,,,,,
270,203,M01,,1,1/10/2025 10:23,1,,ENTRY,,1237157999,,,,,,,
267,203,M02,,1,1/10/2025 10:23,1,,ENTRY,,1006660015,,,,,,,
44,203,K01,204,2,1/10/2025 10:23,3,3,TNG,14.4,1873888047,14.40,34.20,,,,,
268,203,M02,,1,1/10/2025 10:23,1,,ENTRY,,1293645103,,,,,,,
271,203,M01,,1,1/10/2025 10:23,1,,ENTRY,,4147313679,,,,,,,
303,203,M07,,1,1/10/2025 10:23,1,,ENTRY,,E2003412012FFB0006C7A97C,,,0,,,,
272,203,M01,,1,1/10/2025 10:23,1,,ENTRY,,2251115279,,,,,,,
325,203,M04,,1,1/10/2025 10:24,1,,ENTRY,,2170312975,,,,,,,
287,203,K02,201,1,1/10/2025 10:24,2,2,TNG,13.8,3224229743,13.80,320.16,,,,,
286,203,K05,202,1,1/10/2025 10:24,1,1,TNG,5.6,2168624399,5.60,6.02,,,,,
45,203,K01,202,2,1/10/2025 10:24,3,3,TNG,11.3,2007790031,11.30,74.09,,,,,
229,203,K06,202,1,1/10/2025 10:24,1,1,RFID,5.6,E280110520007B46E3160A55,5.60,58.05,3,JRC3854,,,
273,203,M01,,1,1/10/2025 10:24,1,,ENTRY,,4073166639,,,,,,,
288,203,K02,201,1,1/10/2025 10:24,3,3,TNG,18.4,3323142479,18.40,309.36,,,,,
269,203,M02,,1,1/10/2025 10:24,1,,ENTRY,,1066595055,,,,,,,
270,203,M02,,1,1/10/2025 10:24,1,,ENTRY,,1880864527,,,,,,,
287,203,K05,202,1,1/10/2025 10:25,1,1,TNG,5.6,1088472015,5.60,32.77,,,,,
46,203,K01,201,2,1/10/2025 10:25,3,3,TNG,18.4,4169656623,18.40,30.26,,,,,
288,203,K05,201,1,1/10/2025 10:25,1,1,ABTC,9.2,2251874223,9.20,99.86,,,,,
274,203,M01,,1,1/10/2025 10:25,1,,ENTRY,,1019387151,,,,,,,
47,203,K01,202,2,1/10/2025 10:25,3,3,TNG,11.3,1053102223,11.30,132.50,,,,,
