,,Plaza ID :,,203 - CAHAYA BARU,,,,,Transaction Inquiry,,,,06/10/2025 14:00:35,,,,
83,203,M02,,1,01/10/2025 07:58:24,1,,ENTRY,,,1132246927,,,,,,
270,203,M06,,1,01/10/2025 07:58:26,1,,ENTRY,,,2215989167,,,,,,
89,203,K06,204,1,01/10/2025 07:58:28,1,1,RFID,7.20,3,E2806F12200004023E8596BD,VNB5473,7.20,,72.80,,
114,203,K05,201,1,01/10/2025 07:58:32,1,1,ABTC,9.20,,1161035855,,9.20,,494.36,,
189,203,M07,,1,01/10/2025 07:58:36,1,,ENTRY,,3,E280110520007955C65F0A55,QRP1110,,,,,
271,203,M06,,1,01/10/2025 07:58:37,1,,ENTRY,,,1897586031,,,,,,
171,203,M04,,1,01/10/2025 07:58:38,1,,ENTRY,,,1897586255,,,,,,
172,203,M04,,1,01/10/2025 07:58:46,1,,ENTRY,,,1815142319,,,,,,
272,203,M06,,1,01/10/2025 07:58:51,1,,ENTRY,,,2278376335,,,,,,
84,203,M02,,1,01/10/2025 07:58:55,1,,ENTRY,,,1093104175,,,,,,
90,203,K06,204,1,01/10/2025 07:58:55,1,1,RFID,7.20,3,E280110520007B1C0AEA0A5A,VEY774,7.20,,73.90,,
130,203,K01,201,1,01/10/2025 07:58:57,3,3,TNG,18.40,,1891452623,,18.40,,144.06,,
173,203,M04,,1,01/10/2025 07:59:01,1,,ENTRY,,,1354371823,,,,,,
190,203,M07,,1,01/10/2025 07:59:09,1,,ENTRY,,3,E2806F122000F10242243663,VBK8583,,,,,
174,203,M04,,1,01/10/2025 07:59:11,1,,ENTRY,,,4183690639,,,,,,
191,203,M07,,1,01/10/2025 07:59:19,1,,ENTRY,,3,E28011052000784B8CF50A1C,JVR1806,,,,,
273,203,M06,,1,01/10/2025 07:59:20,1,,ENTRY,,,1802061487,,,,,,
91,203,K06,201,1,01/10/2025 07:59:27,1,1,RFID,9.20,3,E280110520007892C64F0A55,JUM9958,9.20,,70.80,,
192,203,M07,,1,01/10/2025 07:59:28,1,,ENTRY,,3,E2806F1220003C02412D768B,BQP3417,,,,,
66,203,K02,202,1,01/10/2025 07:59:33,1,1,ABTC,5.60,,1270265935,,5.60,,"1,002.30",,
92,203,K06,204,1,01/10/2025 07:59:43,1,1,RFID,7.20,3,E280110520007396C8C30A55,VGC2910,7.20,,79.16,,
93,203,K06,201,1,01/10/2025 07:59:50,1,1,RFID,9.20,3,E2806F1220005202423D9460,WTM509,9.20,,52.85,,
94,203,K06,201,1,01/10/2025 07:59:57,1,1,RFID,9.20,3,E28011052000719343BF097F,JQQ2613,9.20,,85.80,,
274,203,M06,,1,01/10/2025 08:00:01,1,,ENTRY,,,1884527311,,,,,,
85,203,M01,,1,01/10/2025 08:00:05,1,,ENTRY,,,1654421775,,,,,,
175,203,M04,,1,01/10/2025 08:00:13,1,,ENTRY,,,4044388303,,,,,,
193,203,M07,,1,01/10/2025 08:00:13,1,,ENTRY,,3,E2806F12200024023E854AC6,JWW213,,,,,
94,203,K04,201,1,01/10/2025 08:00:27,1,1,TNG,9.20,,2255480175,,9.20,,42.10,,
95,203,K04,201,1,01/10/2025 08:00:41,1,1,TNG,9.20,,1801585295,,9.20,,10.87,,
85,203,M02,,1,01/10/2025 08:00:45,1,,ENTRY,,,1064559695,,,,,,
115,203,K05,202,1,01/10/2025 08:00:45,1,1,TNG,5.60,,4083559183,,5.60,,4.48,,
275,203,M06,,1,01/10/2025 08:00:48,1,,ENTRY,,,1823501007,,,,,,
67,203,K02,201,1,01/10/2025 08:00:50,1,1,TNG,9.20,,1715257807,,9.20,,63.38,,
131,203,K01,201,1,01/10/2025 08:00:54,3,3,TNG,18.40,,1608975311,,18.40,,406.68,,
96,203,K04,203,1,01/10/2025 08:00:57,1,1,TNG,9.20,,3291624469,,9.20,,33.88,,
68,203,K02,201,1,01/10/2025 08:01:06,3,3,TNG,18.40,,3257892303,,18.40,,169.74,,
194,203,M07,,1,01/10/2025 08:01:07,1,,ENTRY,,3,E280110520007A4C19E80A56,JQY8427,,,,,
95,203,K06,202,1,01/10/2025 08:01:07,1,1,RFID,5.60,3,E2806F1220007102423DA6F3,JPP2218,5.60,,74.40,,
116,203,K05,203,1,01/10/2025 08:01:09,1,1,TNG,9.20,,1337795375,,9.20,,45.96,,
176,203,M04,,1,01/10/2025 08:01:15,1,,ENTRY,,,3092127535,,,,,,
97,203,K04,204,1,01/10/2025 08:01:15,1,1,TNG,7.20,,3314325231,,7.20,,8.58,,
132,203,K01,201,1,01/10/2025 08:01:16,3,3,TNG,18.40,,1654278223,,18.40,,151.70,,
117,203,K05,204,1,01/10/2025 08:01:18,1,1,ABTC,7.20,,1850453231,,7.20,,147.32,,
96,203,K06,204,1,01/10/2025 08:01:20,1,1,RFID,7.20,3,E280110520007A5AE7E80ACC,JVE2242,7.20,,36.72,,
276,203,M06,,1,01/10/2025 08:01:24,1,,ENTRY,,,2254918735,,,,,,
98,203,K04,204,1,01/10/2025 08:01:24,1,1,ABTC,7.20,,1841045743,,7.20,,69.50,,
86,203,M02,,1,01/10/2025 08:01:26,1,,ENTRY,,,1867141487,,,,,,
86,203,M01,,1,01/10/2025 08:01:27,1,,ENTRY,,,3155206479,,,,,,
177,203,M04,,1,01/10/2025 08:01:28,1,,ENTRY,,,2230206063,,,,,,
97,203,K06,204,1,01/10/2025 08:01:30,1,1,RFID,7.20,3,E28011052000779BC6AE0A55,VGQ4436,7.20,,65.60,,
118,203,K05,201,1,01/10/2025 08:01:32,1,1,TNG,9.20,,3332455183,,9.20,,32.98,,
277,203,M06,,1,01/10/2025 08:01:35,1,,ENTRY,,,1041547535,,,,,,
178,203,M04,,1,01/10/2025 08:01:37,1,,ENTRY,,,1216634863,,,,,,
69,203,K02,204,1,01/10/2025 08:01:38,1,1,TNG,7.20,,1049967215,,7.20,,3.59,,
98,203,K06,201,1,01/10/2025 08:01:39,1,1,RFID,9.20,3,E2806F1220002B02424DE78F,JJT9866,9.20,,522.71,,
278,203,M06,,1,01/10/2025 08:01:44,1,,ENTRY,,,1175911663,,,,,,
99,203,K04,204,1,01/10/2025 08:01:44,1,1,TNG,7.20,,1820883599,,7.20,,35.51,,
133,203,K01,204,1,01/10/2025 08:01:51,1,1,TNG,7.20,,1641589487,,7.20,,9.39,,
279,203,M06,,1,01/10/2025 08:01:51,1,,ENTRY,,,1035298543,,,,,,
119,203,K05,204,1,01/10/2025 08:01:52,1,1,ABTC,7.20,,1807087375,,7.20,,72.80,,
134,203,K01,204,1,01/10/2025 08:02:01,1,1,ABTC,7.20,,2238436239,,7.20,,1.40,,
99,203,K06,201,1,01/10/2025 08:02:09,1,1,RFID,9.20,3,E280110520007783CAF10A55,JUS9049,9.20,,122.75,,
100,203,K06,201,1,01/10/2025 08:02:16,1,1,RFID,9.20,3,E280110520007304D58209ED,RT9495,9.20,,70.80,,
136,203,K01,204,1,01/10/2025 08:02:28,1,1,TNG,7.20,,1162666479,,7.20,,46.26,,
87,203,M01,,1,01/10/2025 08:02:29,1,,ENTRY,,,1045347279,,,,,,
280,203,M06,,1,01/10/2025 08:02:30,1,,ENTRY,,,1781163183,,,,,,
101,203,K06,204,1,01/10/2025 08:02:32,1,1,RFID,7.20,3,E20034120131010004E0B623,JKA9704,7.20,,72.80,,
281,203,M06,,1,01/10/2025 08:02:39,1,,ENTRY,,,1888512495,,,,,,
137,203,K01,201,1,01/10/2025 08:02:42,3,3,TNG,18.40,,4195470511,,18.40,,326.21,,
100,203,K04,204,1,01/10/2025 08:02:43,1,1,TNG,7.20,,2251549775,,7.20,,11.33,,
102,203,K06,202,1,01/10/2025 08:02:44,1,1,RFID,5.60,3,E28011052000738AC4F70A55,JMS4132,5.60,,543.51,,
282,203,M06,,1,01/10/2025 08:02:46,1,,ENTRY,,,1019384847,,,,,,
283,203,M06,,1,01/10/2025 08:02:54,1,,ENTRY,,,4044179503,,,,,,
101,203,K04,201,1,01/10/2025 08:02:57,1,1,TNG,9.20,,4149522735,,9.20,,24.64,,
120,203,K05,201,1,01/10/2025 08:02:58,1,1,TNG,9.20,,1158472367,,9.20,,71.14,,
70,203,K02,201,1,01/10/2025 08:03:00,3,3,TNG,18.40,,1885368111,,18.40,,108.68,,
103,203,K06,201,1,01/10/2025 08:03:03,1,1,RFID,9.20,3,E2806F12200043023E84E535,VMB278,9.20,,113.78,,
121,203,K05,202,1,01/10/2025 08:03:07,1,1,ABTC,5.60,,2259176623,,5.60,,140.47,,
284,203,M06,,1,01/10/2025 08:03:17,1,,ENTRY,,,1244348495,,,,,,
179,203,M04,,1,01/10/2025 08:03:18,1,,ENTRY,,,2169957391,,,,,,
102,203,K04,201,1,01/10/2025 08:03:22,1,1,TNG,9.20,,4162557327,,9.20,,5.72,,
122,203,K05,204,1,01/10/2025 08:03:29,1,1,TNG,7.20,,3233754181,,7.20,,16.00,,
139,203,K01,204,1,01/10/2025 08:03:32,1,1,TNG,7.20,,1772750191,,7.20,,4.87,,
195,203,M07,,1,01/10/2025 08:03:33,1,,ENTRY,,3,E2806F122000A502423DAD5D,WPF6259,,,,,
71,203,K02,204,1,01/10/2025 08:03:36,1,1,TNG,7.20,,4229021327,,7.20,,22.80,,
182,203,M04,,1,01/10/2025 08:03:38,1,,ENTRY,,,1265478415,,,,,,
87,203,M02,,1,01/10/2025 08:03:44,1,,ENTRY,,,4284316943,,,,,,
104,203,K06,204,1,01/10/2025 08:03:45,1,1,RFID,7.20,3,E2806F122000A0024243EE53,EV2314,7.20,,72.80,,
285,203,M06,,1,01/10/2025 08:03:48,1,,ENTRY,,,1299655279,,,,,,
183,203,M04,,1,01/10/2025 08:03:49,1,,ENTRY,,,4194088367,,,,,,
103,203,K04,204,1,01/10/2025 08:03:53,1,1,ABTC,7.20,,1789552111,,7.20,,2.68,,
286,203,M06,,1,01/10/2025 08:03:58,1,,ENTRY,,,1072388559,,,,,,
88,203,M01,,1,01/10/2025 08:04:07,1,,ENTRY,,,1607282767,,,,,,
140,203,K01,201,1,01/10/2025 08:04:07,2,2,TNG,13.80,,1084520911,,13.80,,29.85,,
196,203,M07,,1,01/10/2025 08:04:09,1,,ENTRY,,3,E28011052000775419090A56,TCD909,,,,,
72,203,K02,201,1,01/10/2025 08:04:11,1,1,ABTC,9.20,,4040439695,,9.20,,"1,142.67",,
197,203,M07,,1,01/10/2025 08:04:16,1,,ENTRY,,3,E280110520007915E96A0ACC,JVL4035,,,,,
184,203,M04,,1,01/10/2025 08:04:18,1,,ENTRY,,,1059070127,,,,,,
184,203,M04,,1,01/10/2025 08:04:19,,,,0.00, ,1059070127, ,0.00,,0.00,54,TngAutorefillDisable
104,203,K04,201,1,01/10/2025 08:04:20,1,1,TNG,9.20,,3309716207,,9.20,,128.30,,
198,203,M07,,1,01/10/2025 08:04:22,1,,ENTRY,,3,E280110520007196E8920ACC,JWK3183,,,,,
123,203,K05,204,1,01/10/2025 08:04:26,1,1,ABTC,7.20,,2255558639,,7.20,,38.70,,
199,203,M07,,1,01/10/2025 08:04:27,1,,ENTRY,,3,E28011052000768549120AE3,TCU2830,,,,,
88,203,M02,,1,01/10/2025 08:04:28,1,,ENTRY,,,1778887375,,,,,,
288,203,M06,,1,01/10/2025 08:04:29,1,,ENTRY,,,3233012661,,,,,,
89,203,M01,,1,01/10/2025 08:04:33,1,,ENTRY,,,1734691823,,,,,,
200,203,M07,,1,01/10/2025 08:04:43,1,,ENTRY,,3,E2806F1220000702424AE635,JUL5142,,,,,
141,203,K01,202,1,01/10/2025 08:04:46,3,3,TNG,11.30,,1632592367,,11.30,,74.12,,
185,203,M04,,1,01/10/2025 08:04:46,1,,ENTRY,,,3342118063,,,,,,
289,203,M06,,1,01/10/2025 08:04:54,1,,ENTRY,,,2229595695,,,,,,
89,203,M02,,1,01/10/2025 08:04:57,1,,ENTRY,,,1139189391,,,,,,
290,203,M06,,1,01/10/2025 08:05:01,1,,ENTRY,,,1773213775,,,,,,
143,203,K01,202,1,01/10/2025 08:05:21,3,3,TNG,11.30,,1307877551,,11.30,,154.20,,
186,203,M04,,1,01/10/2025 08:05:26,1,,ENTRY,,,2167292591,,,,,,
124,203,K05,201,1,01/10/2025 08:05:33,1,1,ABTC,9.20,,4040634287,,9.20,,"1,162.71",,
90,203,M01,,1,01/10/2025 08:05:44,1,,ENTRY,,,4073739951,,,,,,
105,203,K06,202,1,01/10/2025 08:05:50,1,1,RFID,5.60,3,E2806F1220006A023E9833D0,JUG34,5.60,,331.00,,
144,203,K01,201,1,01/10/2025 08:05:55,3,3,TNG,18.40,,1654637167,,18.40,,339.95,,
126,203,K05,201,1,01/10/2025 08:05:56,1,1,TNG,9.20,,1060805167,,9.20,,62.99,,
105,203,K04,204,1,01/10/2025 08:05:56,1,1,TNG,7.20,,1859383855,,7.20,,1.63,,
73,203,K02,202,1,01/10/2025 08:05:57,2,2,TNG,8.50,,1270444687,,8.50,,181.01,,
127,203,K05,204,1,01/10/2025 08:06:07,1,1,TNG,7.20,,1878979823,,7.20,,14.22,,
106,203,K06,204,1,01/10/2025 08:06:08,1,1,RFID,7.20,3,E2806F122000520241212073,FC542,7.20,,138.63,,
74,203,K02,204,1,01/10/2025 08:06:16,5,1,ABTC,4.50,,1793491855,,4.50,,80.04,,
201,203,M07,,1,01/10/2025 08:06:18,1,,ENTRY,,3,E2801105200076C9CB120A55,JVM2198,,,,,
291,203,M06,,1,01/10/2025 08:06:39,1,,ENTRY,,,1841043503,,,,,,
187,203,M04,,1,01/10/2025 08:06:40,1,,ENTRY,,,2176304303,,,,,,
75,203,K02,201,1,01/10/2025 08:06:48,1,1,TNG,9.20,,4178017359,,9.20,,67.38,,
128,203,K05,202,1,01/10/2025 08:06:51,1,1,TNG,5.60,,1128842895,,5.60,,116.23,,
91,203,M01,,1,01/10/2025 08:06:56,1,,ENTRY,,,1324179023,,,,,,
107,203,K06,201,1,01/10/2025 08:06:57,1,1,RFID,9.20,3,E280110520007B83D58709ED,JMV7979,9.20,,449.32,,
188,203,M04,,1,01/10/2025 08:07:02,1,,ENTRY,,,1875332463,,,,,,
90,203,M02,,1,01/10/2025 08:07:04,1,,ENTRY,,,1779773903,,,,,,
92,203,M01,,1,01/10/2025 08:07:05,1,,ENTRY,,,1029531855,,,,,,
292,203,M06,,1,01/10/2025 08:07:06,1,,ENTRY,,,3452591023,,,,,,
106,203,K04,201,1,01/10/2025 08:07:09,1,1,TNG,9.20,,4269638415,,9.20,,22.88,,
108,203,K06,202,1,01/10/2025 08:07:09,1,1,RFID,5.60,3,E2806F122000D9023E85BAE5,VDU3964,5.60,,63.44,,
145,203,K01,201,1,01/10/2025 08:07:09,3,3,TNG,18.40,,1042411503,,18.40,,520.42,,
76,203,K02,201,1,01/10/2025 08:07:14,3,3,TNG,18.40,,3108996591,,18.40,,362.68,,
293,203,M06,,1,01/10/2025 08:07:14,1,,ENTRY,,,1895101007,,,,,,
109,203,K06,202,1,01/10/2025 08:07:15,1,1,RFID,5.60,3,E28011052000791519250A56,JVK8006,5.60,,74.40,,
202,203,M07,,1,01/10/2025 08:07:17,1,,ENTRY,,3,E2801105200076CACCE40A55,JTS3429,,,,,
91,203,M02,,1,01/10/2025 08:07:18,1,,ENTRY,,,1078171343,,,,,,
189,203,M04,,1,01/10/2025 08:07:18,1,,ENTRY,,,1624616239,,,,,,
93,203,M01,,1,01/10/2025 08:07:18,1,,ENTRY,,,1300869519,,,,,,
129,203,K05,204,1,01/10/2025 08:07:20,1,1,TNG,7.20,,1879939087,,7.20,,7.79,,
294,203,M06,,1,01/10/2025 08:07:22,1,,ENTRY,,,1880860527,,,,,,
203,203,M07,,1,01/10/2025 08:07:23,1,,ENTRY,,3,E280110520007989CDA50A55,JRR6754,,,,,
107,203,K04,202,1,01/10/2025 08:07:25,1,1,TNG,5.60,,2252486223,,5.60,,36.03,,
190,203,M04,,1,01/10/2025 08:07:26,1,,ENTRY,,,4278186959,,,,,,
295,203,M06,,1,01/10/2025 08:07:30,1,,ENTRY,,,1127410671,,,,,,
204,203,M07,,1,01/10/2025 08:07:31,1,,ENTRY,,3,E280110520007689C64C0A55,KCE2078,,,,,
130,203,K05,204,1,01/10/2025 08:07:31,1,1,TNG,7.20,,1084952207,,7.20,,19.88,,
191,203,M04,,1,01/10/2025 08:07:35,1,,ENTRY,,,1244340111,,,,,,
94,203,M01,,1,01/10/2025 08:07:36,1,,ENTRY,,,4109028975,,,,,,
191,203,M04,,1,01/10/2025 08:07:36,,,,0.00, ,1244340111, ,0.00,,0.00,54,TngAutorefillDisable
296,203,M06,,1,01/10/2025 08:07:37,1,,ENTRY,,,2165751599,,,,,,
146,203,K01,204,1,01/10/2025 08:07:39,1,1,TNG,7.20,,2224939119,,7.20,,0.86,,
131,203,K05,201,1,01/10/2025 08:07:39,1,1,TNG,9.20,,1881248239,,9.20,,55.43,,
108,203,K04,202,1,01/10/2025 08:07:43,1,1,TNG,5.60,,4046217039,,5.60,,3.27,,
77,203,K02,204,1,01/10/2025 08:07:43,3,3,TNG,14.40,,4118932207,,14.40,,40.30,,
92,203,M02,,1,01/10/2025 08:07:46,1,,ENTRY,,,4158276943,,,,,,
192,203,M04,,1,01/10/2025 08:08:03,1,,ENTRY,,,1331071727,,,,,,
147,203,K01,204,1,01/10/2025 08:08:11,1,1,TNG,7.20,,1824247343,,7.20,,24.18,,
95,203,M01,,1,01/10/2025 08:08:13,1,,ENTRY,,,4109113295,,,,,,
297,203,M06,,1,01/10/2025 08:08:20,1,,ENTRY,,,1743508175,,,,,,
132,203,K05,201,1,01/10/2025 08:08:20,1,1,ABTC,9.20,,1047710479,,9.20,,45.64,,
109,203,K04,204,1,01/10/2025 08:08:27,1,1,TNG,7.20,,1024264655,,7.20,,56.39,,
110,203,K06,204,1,01/10/2025 08:08:36,1,1,RFID,7.20,3,E2801105200072CAE7670ACC,JVM8486,7.20,,105.06,,
134,203,K05,202,1,01/10/2025 08:08:40,1,1,TNG,5.60,,1276360527,,5.60,,28.82,,
111,203,K06,201,1,01/10/2025 08:08:42,1,1,RFID,9.20,3,E280110520007449C55B0A55,BES8567,9.20,,70.80,,
78,203,K02,202,1,01/10/2025 08:08:48,1,1,ABTC,5.60,,1334652527,,5.60,,78.61,,
112,203,K06,201,1,01/10/2025 08:08:54,1,1,RFID,9.20,3,E2801105200076DEE17B0A55,JUY1165,9.20,,70.80,,
205,203,M07,,1,01/10/2025 08:08:59,1,,ENTRY,,3,E28011052000730AE2380A55,JWF8152,,,,,
298,203,M06,,1,01/10/2025 08:09:15,1,,ENTRY,,,1285723023,,,,,,
193,203,M04,,1,01/10/2025 08:09:16,1,,ENTRY,,,3045584175,,,,,,
299,203,M06,,1,01/10/2025 08:09:21,1,,ENTRY,,,1839990671,,,,,,
194,203,M04,,1,01/10/2025 08:09:26,1,,ENTRY,,,1834805327,,,,,,
113,203,K06,202,1,01/10/2025 08:09:26,1,1,RFID,5.60,3,E2806F1220009A02424E60A4,JYA95,5.60,,"4,919.37",,
300,203,M06,,1,01/10/2025 08:09:29,1,,ENTRY,,,1732626543,,,,,,
206,203,M07,,1,01/10/2025 08:09:30,1,,ENTRY,,3,E2806F1220007A024249B6C3,EV1444,,,,,
195,203,M04,,1,01/10/2025 08:09:35,1,,ENTRY,,,2247774479,,,,,,
114,203,K06,201,1,01/10/2025 08:09:41,1,1,RFID,9.20,3,E2801105200076CBE8220ACC,RAJ266,9.20,,88.64,,
135,203,K05,202,1,01/10/2025 08:09:48,1,1,TNG,5.60,,4169328655,,5.60,,11.24,,
110,203,K04,204,1,01/10/2025 08:09:48,1,1,TNG,7.20,,2168212815,,7.20,,78.52,,
79,203,K02,202,1,01/10/2025 08:09:52,1,1,TNG,5.60,,1170543439,,5.60,,41.98,,
111,203,K04,202,1,01/10/2025 08:09:55,1,1,ABTC,5.60,,2165725967,,5.60,,1.23,,
136,203,K05,204,1,01/10/2025 08:09:56,1,1,ABTC,7.20,,1363435183,,7.20,,73.78,,
301,203,M06,,1,01/10/2025 08:09:57,1,,ENTRY,,,1368890447,,,,,,
207,203,M07,,1,01/10/2025 08:09:57,1,,ENTRY,,3,E280110520007855E8890ACC,NEA7456,,,,,
302,203,M06,,1,01/10/2025 08:10:04,1,,ENTRY,,,1004250991,,,,,,
115,203,K06,201,1,01/10/2025 08:10:04,1,1,RFID,9.20,3,E2806F1220000F023EB12E87,JTV4400,9.20,,70.80,,
116,203,K06,202,1,01/10/2025 08:10:11,1,1,RFID,5.60,3,E2806F122000BC024133778E,JWA6809,5.60,,89.82,,
208,203,M07,,1,01/10/2025 08:10:13,1,,ENTRY,,3,E280110520007281E1B90A55,WA6221B,,,,,
303,203,M06,,1,01/10/2025 08:10:14,1,,ENTRY,,,1762732495,,,,,,
148,203,K01,202,1,01/10/2025 08:10:16,2,2,TNG,8.50,,4239445135,,8.50,,116.86,,
93,203,M02,,1,01/10/2025 08:10:24,1,,ENTRY,,,4098567663,,,,,,
196,203,M04,,1,01/10/2025 08:10:25,1,,ENTRY,,,1238929455,,,,,,
197,203,M04,,1,01/10/2025 08:10:32,1,,ENTRY,,,1164699567,,,,,,
81,203,K02,201,1,01/10/2025 08:10:42,3,3,TNG,18.40,,1006213999,,18.40,,113.46,,
304,203,M06,,1,01/10/2025 08:10:46,1,,ENTRY,,,1269784591,,,,,,
137,203,K05,201,1,01/10/2025 08:11:11,1,1,ABTC,9.20,,1100335695,,9.20,,7.55,,
149,203,K01,204,1,01/10/2025 08:11:17,2,2,TNG,10.80,,1659164783,,10.80,,171.78,,
82,203,K02,204,1,01/10/2025 08:11:31,1,1,TNG,7.20,,2122725192,,7.20,,6.77,,
96,203,M01,,1,01/10/2025 08:11:32,1,,ENTRY,,,1654207951,,,,,,
209,203,M07,,1,01/10/2025 08:11:35,1,,ENTRY,,3,E2806F122000DF024243DD01,JXQ9680,,,,,
305,203,M06,,1,01/10/2025 08:11:36,1,,ENTRY,,,1890783215,,,,,,
95,203,M02,,1,01/10/2025 08:11:40,1,,ENTRY,,,1003149967,,,,,,
306,203,M06,,1,01/10/2025 08:11:59,1,,ENTRY,,,3096291375,,,,,,
83,203,K02,204,1,01/10/2025 08:12:04,1,1,TNG,7.20,,3230718319,,7.20,,78.11,,
112,203,K04,202,1,01/10/2025 08:12:08,1,1,ABTC,5.60,,1895952527,,5.60,,43.32,,
307,203,M06,,1,01/10/2025 08:12:11,1,,ENTRY,,,1623018863,,,,,,
210,203,M07,,1,01/10/2025 08:12:12,1,,ENTRY,,3,E280110520007A42F8F80ACE,VHN9256,,,,,
308,203,M06,,1,01/10/2025 08:12:21,1,,ENTRY,,,1342109327,,,,,,
211,203,M07,,1,01/10/2025 08:12:22,1,,ENTRY,,3,E2806F122000A2024249BFD4,JUL8127,,,,,
151,203,K01,201,1,01/10/2025 08:12:22,3,3,TNG,18.40,,3309843695,,18.40,,41.56,,
212,203,M07,,1,01/10/2025 08:12:26,1,,ENTRY,,3,E2806F122000E802412D0D72,JTT5698,,,,,
117,203,K06,201,1,01/10/2025 08:12:29,1,1,RFID,9.20,3,E28011052000709EE77C0ACC,BQE2808,9.20,,113.97,,
309,203,M06,,1,01/10/2025 08:12:31,1,,ENTRY,,,2228361551,,,,,,
138,203,K05,202,1,01/10/2025 08:12:33,1,1,TNG,5.60,,2245539055,,5.60,,121.73,,
96,203,M02,,1,01/10/2025 08:12:39,1,,ENTRY,,,2240550223,,,,,,
86,203,K02,201,1,01/10/2025 08:12:42,3,3,TNG,18.40,,2001141295,,18.40,,129.72,,
213,203,M07,,1,01/10/2025 08:12:45,1,,ENTRY,,3,E280110520007311E9050ACC,VBS6557,,,,,
310,203,M06,,1,01/10/2025 08:12:54,1,,ENTRY,,,2260866831,,,,,,
198,203,M04,,1,01/10/2025 08:12:58,1,,ENTRY,,,2277770511,,,,,,
311,203,M06,,1,01/10/2025 08:13:00,1,,ENTRY,,,1049789007,,,,,,
153,203,K01,201,1,01/10/2025 08:13:03,3,3,TNG,18.40,,3077722447,,18.40,,2.92,,
139,203,K05,202,1,01/10/2025 08:13:08,1,1,TNG,5.60,,3981219055,,5.60,,18.52,,
214,203,M07,,1,01/10/2025 08:13:12,1,,ENTRY,,3,E28011052000750AE2080A55,WRV6664,,,,,
87,203,K02,202,1,01/10/2025 08:13:26,3,3,TNG,11.30,,4147087631,,11.30,,78.69,,
215,203,M07,,1,01/10/2025 08:13:28,1,,ENTRY,,3,E2806F1220000D0242444CD3,W5794J,,,,,
154,203,K01,201,1,01/10/2025 08:13:29,2,2,TNG,13.80,,1018839727,,13.80,,227.95,,
140,203,K05,202,1,01/10/2025 08:13:30,1,1,TNG,5.60,,3445626159,,5.60,,17.95,,
97,203,M01,,1,01/10/2025 08:13:40,1,,ENTRY,,,1068340463,,,,,,
155,203,K01,201,1,01/10/2025 08:13:40,3,3,TNG,18.40,,2008531119,,18.40,,24.71,,
118,203,K06,202,1,01/10/2025 08:13:46,1,1,RFID,5.60,3,E2801105200074CBE7DF0ACC,JVX7791,5.60,,74.40,,
156,203,K01,202,1,01/10/2025 08:13:56,2,2,ABTC,8.50,,1800783279,,8.50,,40.33,,
216,203,M07,,1,01/10/2025 08:13:59,1,,ENTRY,,3,E2806F12200055024245851C,SB2830J,,,,,
88,203,K02,202,1,01/10/2025 08:14:03,2,2,TNG,8.50,,1729993935,,8.50,,71.10,,
113,203,K04,201,1,01/10/2025 08:14:08,1,1,TNG,9.20,,4035288911,,9.20,,107.24,,
141,203,K05,202,1,01/10/2025 08:14:10,1,1,ABTC,5.60,,2279046095,,5.60,,74.40,,
312,203,M06,,1,01/10/2025 08:14:12,1,,ENTRY,,,1848793071,,,,,,
142,203,K05,202,1,01/10/2025 08:14:16,1,1,ABTC,5.60,,4281436719,,5.60,,126.76,,
143,203,K05,202,1,01/10/2025 08:14:27,1,1,ABTC,5.60,,4228892559,,5.60,,74.40,,
217,203,M07,,1,01/10/2025 08:14:32,1,,ENTRY,,3,E280110520007645FA480ACE,JPE5141,,,,,
158,203,K01,202,1,01/10/2025 08:14:32,1,1,TNG,5.60,,1214748911,,5.60,,9.60,,
114,203,K04,201,1,01/10/2025 08:14:36,1,1,TNG,9.20,,1774982671,,9.20,,118.58,,
89,203,K02,201,1,01/10/2025 08:14:37,3,3,TNG,18.40,,4130155855,,18.40,,397.79,,
199,203,M04,,1,01/10/2025 08:14:41,1,,ENTRY,,,1680126927,,,,,,
159,203,K01,202,1,01/10/2025 08:14:44,2,2,TNG,8.50,,1805280879,,8.50,,55.28,,
313,203,M06,,1,01/10/2025 08:14:52,1,,ENTRY,,,2166633807,,,,,,
218,203,M07,,1,01/10/2025 08:15:00,1,,ENTRY,,3,E2806F122000FB023E9CA68F,JXA5800,,,,,
90,203,K02,202,1,01/10/2025 08:15:02,2,2,TNG,8.50,,1098274127,,8.50,,4.48,,
314,203,M06,,1,01/10/2025 08:15:03,1,,ENTRY,,,4211196495,,,,,,
200,203,M04,,1,01/10/2025 08:15:04,1,,ENTRY,,,4111945231,,,,,,
97,203,M02,,1,01/10/2025 08:15:04,1,,ENTRY,,,3358608517,,,,,,
219,203,M07,,1,01/10/2025 08:15:08,1,,ENTRY,,3,E2801105200076598CFE0A1C,QTT5677,,,,,
119,203,K06,204,1,01/10/2025 08:15:10,1,1,RFID,7.20,3,E2806F1220005102424AA871,JXS8001,7.20,,72.80,,
144,203,K05,204,1,01/10/2025 08:15:11,1,1,TNG,7.20,,1717658799,,7.20,,74.18,,
220,203,M07,,1,01/10/2025 08:15:12,1,,ENTRY,,3,E2806F12200089023E84E51B,JQX2199,,,,,
115,203,K04,204,1,01/10/2025 08:15:14,1,1,ABTC,7.20,,2257859983,,7.20,,72.80,,
161,203,K01,201,1,01/10/2025 08:15:16,2,2,TNG,13.80,,4165923503,,13.80,,40.04,,
